code_prefix,country_id,country_code,country_title,region_title,current_rate,billing_term,last_updated,rate_status
"35527350","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527370","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527390","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527440","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527470","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527490","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527523","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527550","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527570","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527590","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527623","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527660","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527693","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527723","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527760","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527790","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527840","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527860","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527880","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527923","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527950","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527970","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35527990","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528123","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528124","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528143","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528144","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528190","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528223","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528250","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528270","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528290","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528323","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528350","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528390","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
